IV_peak,0.2600999999999998,weight,1.0
v_half_act,0.19466053487910023,weight,1000.0
gv_slope,0.07839524061657821,weight,[1.0, 1.0]
v_half_ssi,0.0043194147250706005,weight,1.0
ssi_slope,0.0010601374923516836,weight,1.0
tau0,0.015867930605639003,weight,1.0
ramp,0.06407510420116133,weight,1.0
persistent,3.3700954022065434e-05,weight,1000.0
time_to_peak,0.06687499999999984,weight,1.0
peak_amp,5.788128633949413,weight,1.0
bottom_inact,1.0600657602550777e-06,weight,1.0
ramp_ivec,4.643129509225374,weight,1.0
