Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,dvdt Peak2 Shoulder,dvdt Threshold_DEBUG,ais spikecount,nex spikecount,disdend spikecount
./Plots/12HH16HH/10-KevinRtR_chandensities/11-ShiftAIS/26-right3_shoulderPeak/right3_70:30,4.764287606849111,3.400000000000773,3.1098830759891047,1.45043799808935,20,74.61052631575524,178.7468125276721,-29.49384205130089,178.7468125276721,-29.49384205130089,-42.505427278111874,119.98107147223998,-42.505427278111874,20,0,0
./Plots/12HH16HH/10-KevinRtR_chandensities/11-ShiftAIS/26-right3_shoulderPeak/right3_60:40,3.0879334880439493,2.799999999999841,4.797274506799121,1.401390245488742,26,65.16399999997617,174.24062708755875,-30.21926354221609,174.24062708755875,-30.21926354221609,-43.56885212602504,113.1688673142376,-43.56885212602504,26,0,0
./Plots/12HH16HH/10-KevinRtR_chandensities/11-ShiftAIS/26-right3_shoulderPeak/right3_50:50,2.014238476426565,2.799999999999841,4.428018715724744,1.3633365924428096,30,55.81724137929032,169.46551581673396,-31.251294623622336,169.46551581673396,-31.251294623622336,-44.67891336261183,114.62578060750256,-44.67891336261183,30,0,0
./Plots/12HH16HH/10-KevinRtR_chandensities/11-ShiftAIS/26-right3_shoulderPeak/right3_40:60,1.3621500468356211,2.6999999999998465,4.19896751093801,1.3290955405867335,34,49.875757575739314,161.46533229084133,-32.377936217653726,161.46533229084133,-32.377936217653726,-45.58087570561897,120.8931514182705,-45.58087570561897,34,0,0
