Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,dvdt Peak2 Shoulder,dvdt Threshold_DEBUG,ais spikecount,nex spikecount,disdend spikecount
./Plots/12HH16HH/10-KevinRtR_chandensities/11-ShiftAIS/25-right4_shoulderPeak/right4_60:40,2.4799846500479723,2.899999999999835,3.2186502813400875,1.4626603666447942,24,71.16956521736502,170.77076830766876,-31.15637624068924,170.77076830766876,-31.15637624068924,-43.51758740003816,108.81006347554523,-43.51758740003816,24,0,0
./Plots/12HH16HH/10-KevinRtR_chandensities/11-ShiftAIS/25-right4_shoulderPeak/right4_70:30,4.375440743222622,3.3000000000007503,3.0823130000758634,1.4768126576730345,19,77.73888888885162,175.73536691831427,-30.08285060808204,175.73536691831427,-30.08285060808204,-42.50752431200532,116.50418741311236,-42.50752431200532,19,0,0
./Plots/12HH16HH/10-KevinRtR_chandensities/11-ShiftAIS/25-right4_shoulderPeak/right4_50:50,1.1706093619796216,2.799999999999841,3.750895838684437,1.3936145196315644,29,58.54642857140711,164.27577619627414,-31.88517882591478,164.27577619627414,-31.88517882591478,-44.32773765243296,106.81088339193552,-44.32773765243296,29,0,0
./Plots/12HH16HH/10-KevinRtR_chandensities/11-ShiftAIS/25-right4_shoulderPeak/right4_40:60,0.5104839434915216,2.6999999999998465,3.5403047324477552,1.3520344174492118,33,51.88437499998073,156.168402239215,-32.227025764124434,156.168402239215,-32.227025764124434,-45.206086094769226,113.3170038280447,-45.206086094769226,33,0,0
