,Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,dvdt Peak2 Shoulder Before,dvdt Peak2 Shoulder After,dvdt Threshold_DEBUG,ais spikecount,nex spikecount,disdend spikecount
0,./Plots/12HH16HH//23-PaperPlots/2-Expression_at_locations_052225/sim_config_soma/WT,31.219295596694092,0.0,33.53946959851159,1.0464297976056134,9,52.562500000007226,487.4510275767173,6.920942366006561,484.7476663006879,6.365159794905044,-47.65407699785399,297.34877763045233,484.48289088911844,-47.65407699785399,9,0,0
1,./Plots/12HH16HH//23-PaperPlots/2-Expression_at_locations_052225/sim_config_soma/het,15.244688969635131,0.0,16.553629571862068,7.501109669208409,11,46.30000000000676,273.53858447982986,-4.170014429299519,270.63734028631876,-4.650581493242042,-47.442572025314156,229.7836639249887,50.3459363262472,-47.442572025314156,11,0,0
2,./Plots/12HH16HH//23-PaperPlots/2-Expression_at_locations_052225/sim_config_soma/ko,3.029573909625505,0.0,8.463159426931465,1.8941897238060332,13,39.050000000005745,133.25103887144962,-35.89840019494153,136.2042170602061,-11.176080661845745,-46.91135397980593,135.95550666423966,92.7499978490971,-46.91135397980593,13,0,0
3,./Plots/12HH16HH//23-PaperPlots/2-Expression_at_locations_052225/sim_config_ais/WT,31.219295596694092,0.0,33.53946959851159,1.0464297976056134,9,52.562500000007226,487.4510275767173,6.920942366006561,484.7476663006879,6.365159794905044,-47.65407699785399,297.34877763045233,484.48289088911844,-47.65407699785399,9,0,0
4,./Plots/12HH16HH//23-PaperPlots/2-Expression_at_locations_052225/sim_config_ais/het,15.244688969635131,0.0,16.553629571862068,7.501109669208409,11,46.30000000000676,273.53858447982986,-4.170014429299519,270.63734028631876,-4.650581493242042,-47.442572025314156,229.7836639249887,50.3459363262472,-47.442572025314156,11,0,0
5,./Plots/12HH16HH//23-PaperPlots/2-Expression_at_locations_052225/sim_config_ais/ko,3.029573909625505,0.0,8.463159426931465,1.8941897238060332,13,39.050000000005745,133.25103887144962,-35.89840019494153,136.2042170602061,-11.176080661845745,-46.91135397980593,135.95550666423966,92.7499978490971,-46.91135397980593,13,0,0
6,./Plots/12HH16HH//23-PaperPlots/2-Expression_at_locations_052225/sim_config_basaldend/WT,31.219295596694092,0.0,33.53946959851159,1.0464297976056134,9,52.562500000007226,487.4510275767173,6.920942366006561,484.7476663006879,6.365159794905044,-47.65407699785399,297.34877763045233,484.48289088911844,-47.65407699785399,9,0,0
7,./Plots/12HH16HH//23-PaperPlots/2-Expression_at_locations_052225/sim_config_basaldend/het,15.244688969635131,0.0,16.553629571862068,7.501109669208409,11,46.30000000000676,273.53858447982986,-4.170014429299519,270.63734028631876,-4.650581493242042,-47.442572025314156,229.7836639249887,50.3459363262472,-47.442572025314156,11,0,0
8,./Plots/12HH16HH//23-PaperPlots/2-Expression_at_locations_052225/sim_config_basaldend/ko,3.029573909625505,0.0,8.463159426931465,1.8941897238060332,13,39.050000000005745,133.25103887144962,-35.89840019494153,136.2042170602061,-11.176080661845745,-46.91135397980593,135.95550666423966,92.7499978490971,-46.91135397980593,13,0,0
9,./Plots/12HH16HH//23-PaperPlots/2-Expression_at_locations_052225/sim_config_nexus/WT,31.219295596694092,0.0,33.53946959851159,1.0464297976056134,9,52.562500000007226,487.4510275767173,6.920942366006561,484.7476663006879,6.365159794905044,-47.65407699785399,297.34877763045233,484.48289088911844,-47.65407699785399,9,0,0
10,./Plots/12HH16HH//23-PaperPlots/2-Expression_at_locations_052225/sim_config_nexus/het,15.244688969635131,0.0,16.553629571862068,7.501109669208409,11,46.30000000000676,273.53858447982986,-4.170014429299519,270.63734028631876,-4.650581493242042,-47.442572025314156,229.7836639249887,50.3459363262472,-47.442572025314156,11,0,0
11,./Plots/12HH16HH//23-PaperPlots/2-Expression_at_locations_052225/sim_config_nexus/ko,3.029573909625505,0.0,8.463159426931465,1.8941897238060332,13,39.050000000005745,133.25103887144962,-35.89840019494153,136.2042170602061,-11.176080661845745,-46.91135397980593,135.95550666423966,92.7499978490971,-46.91135397980593,13,0,0
12,./Plots/12HH16HH//23-PaperPlots/2-Expression_at_locations_052225/sim_config_apicaldend/WT,31.219295596694092,0.0,33.53946959851159,1.0464297976056134,9,52.562500000007226,487.4510275767173,6.920942366006561,484.7476663006879,6.365159794905044,-47.65407699785399,297.34877763045233,484.48289088911844,-47.65407699785399,9,0,0
13,./Plots/12HH16HH//23-PaperPlots/2-Expression_at_locations_052225/sim_config_apicaldend/het,15.244688969635131,0.0,16.553629571862068,7.501109669208409,11,46.30000000000676,273.53858447982986,-4.170014429299519,270.63734028631876,-4.650581493242042,-47.442572025314156,229.7836639249887,50.3459363262472,-47.442572025314156,11,0,0
14,./Plots/12HH16HH//23-PaperPlots/2-Expression_at_locations_052225/sim_config_apicaldend/ko,3.029573909625505,0.0,8.463159426931465,1.8941897238060332,13,39.050000000005745,133.25103887144962,-35.89840019494153,136.2042170602061,-11.176080661845745,-46.91135397980593,135.95550666423966,92.7499978490971,-46.91135397980593,13,0,0
