Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,dvdt Threshold_DEBUG,ais spikecount,nex spikecount,disdend spikecount
80:20,5.878398369778564,5.200000000001182,4.702544497780651,1.3346915914037716,14,96.4923076922588,183.4583100589487,-27.24027351148485,184.4029765682212,-27.958479441066377,-41.73353330282612,-41.73353330282612,14,0,0
70:30,3.899433084836693,3.50000000000054,3.1489531651567737,1.476119363574772,21,80.18499999997073,179.7921062382038,-28.89038693683873,180.30923390735225,-28.73784064066963,-42.75507163840943,-42.75507163840943,21,0,0
60:40,2.768382268910353,2.999999999999829,4.581707953465166,1.3736119316936983,28,60.89629629627379,177.75981944148782,-29.949000779590552,178.02761457472585,-30.329072865124047,-43.96741076708372,-43.96741076708372,28,0,0
50:50,1.9882591192524264,2.799999999999841,4.776038978085128,1.3291657131656511,32,52.458064516110106,173.80043754129844,-31.62048917316637,173.69718902122813,-31.101348864140032,-45.01447112012878,-45.01447112012878,32,0,0
40:60,1.3799926278231651,2.6999999999998465,4.589816762878676,1.3015673182661895,36,47.19142857141123,166.68176326893976,-32.16644950545513,166.34160586457156,-32.34332484640475,-45.81638360203103,-45.81638360203103,36,0,0
30:70,1.3074805753732317,2.6999999999998465,5.319617983656659,1.2602622957502647,39,43.5657894736682,156.89403021157204,-34.31751572675421,118.55601805116416,-14.03661005250444,-46.43677507253465,-46.43677507253465,39,0,0
20:80,1.9666354340333652,2.799999999999841,6.87673880505721,1.2119880083267165,42,40.78048780486288,145.85837801215789,-35.65339978237287,124.4526921057176,-12.23221830127283,-46.920483937417565,-46.920483937417565,42,0,0
10:90,2.876574173050002,3.199999999999818,9.150443110599827,1.1481622166027554,44,38.53023255812542,135.7137199102077,-37.40591198785612,129.82301012220407,-11.379235356524712,-47.292349166337466,-47.292349166337466,44,0,0
0:100,2.878553919497998,4.199999999999761,11.734733946541732,1.0643032752594173,47,35.949999999986886,126.52970837897684,-38.9588659087346,120.90561415720326,-12.105982869143755,-47.49273216371075,-47.49273216371075,47,0,0
