Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,dvdt Threshold_DEBUG,ais spikecount,nex spikecount,disdend spikecount
90:10,6.709190887875053,3.400000000000773,6.4759902767070905,0.5863740851370727,2,679.6999999997424,181.9452183586289,-13.941038522881316,181.9452183586289,-13.941038522881316,-40.04429064436016,-40.04429064436016,4,0,0
80:20,4.932496765467143,3.100000000000705,4.730964985812474,0.6095423524567086,3,508.6999999998459,171.47386363485566,-16.927836489903232,171.90507399352376,-16.913380652362523,-40.55457166871638,-40.55457166871638,6,0,0
70:30,5.363734153350739,3.799999999999784,8.340340385010819,0.7296235234892038,5,395.749999999861,169.8953909889912,-20.648135719616405,48.22849825292579,-17.502200993520553,-41.59176183734007,-41.59176183734007,16,0,0
60:40,6.32760695511351,3.799999999999784,9.513314813383984,1.1543823570543468,31,54.94999999997973,182.1002167620783,-22.32848495702535,178.3609197736485,-22.75808444395159,-43.76396475974759,-43.76396475974759,31,0,0
50:50,6.686520754982591,3.099999999999824,10.21399431049343,1.1467043196077586,36,46.89714285712577,188.50986072603604,-23.969958703212207,184.96179431101783,-23.968037320254805,-45.20829985557453,-45.20829985557453,36,0,0
40:60,6.415259129846003,2.899999999999835,10.248181720522028,1.1513646761783474,39,43.07105263156338,190.94597783913656,-26.23338117010991,187.0719117249376,-26.28808902787247,-46.21296956200706,-46.21296956200706,39,0,0
30:70,6.513594551891419,2.799999999999841,9.69466778691669,1.1687451565291125,42,40.82926829266771,190.0497238415234,-27.7158066113656,186.6776524128582,-28.04156624650588,-46.9478550556987,-46.9478550556987,42,0,0
20:80,7.375775572618084,2.799999999999841,10.71940536949441,1.1588266349770702,43,39.64285714284252,188.7039573669096,-30.27525189932359,181.956917791946,-10.971512975234862,-47.55292460580195,-47.55292460580195,43,0,0
10:90,8.853235019738618,2.799999999999841,12.26456667261056,1.145240203704743,44,39.030232558125,188.014847669357,-32.51286491235204,197.0522546075794,-8.566246164224356,-48.054398573028806,-48.054398573028806,44,0,0
0:100,11.004263292492324,2.999999999999829,14.712944754962814,1.116961557017197,44,38.909302325567,189.0579461565601,-34.2706466467728,219.84507907531628,-6.362042100158066,-48.49923775832457,-48.49923775832457,44,0,0
