,Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,ais spikecount,nex spikecount,disdend spikecount
0,70:30,4.8338927827781335,0.39999999999997726,6.631454612113099,1.2499293766502813,23,73.74545454542758,182.3792177427375,-25.243904106378796,182.3792177427375,-25.243904106378796,-42.459166750855346,23,0,0
1,60:40,5.100826296784865,0.29999999999998295,7.308404513277541,1.2460534893703734,31,55.34999999997934,188.012364740419,-27.17182970368694,188.012364740419,-27.17182970368694,-44.04313676282847,31,0,0
2,50:50,4.620579958339837,0.39999999999997726,7.737833978273608,1.220997476197859,35,48.08529411762963,190.19384595639153,-28.864581571331893,190.19384595639153,-28.864581571331893,-45.29649597007935,35,0,0
3,40:60,4.149221833823425,0.39999999999997726,7.672179683993269,1.2127655932793444,39,43.96315789472046,188.3195459174498,-30.120431051304827,188.3195459174498,-30.120431051304827,-46.19185237004282,39,0,0
4,30:70,4.162847176598435,0.29999999999998295,7.643510014043255,1.2102299536623582,41,41.46999999998475,183.92910690610157,-31.619074325263195,183.92910690610157,-31.619074325263195,-46.876224666397704,41,0,0
5,20:80,4.973419765827628,0.39999999999997726,9.293728588489534,1.1745536998182189,43,39.79761904760428,178.38586805159125,-33.49218933551554,161.268003485657,-10.123275323083035,-47.42797383105521,43,0,0
6,10:90,6.40651766801411,0.39999999999997726,10.656521074728873,1.1582189206529103,44,38.77906976742754,173.48537502589707,-34.83023764040298,176.7885655746001,-8.865978107008239,-47.88813469786382,44,0,0
7,0:100,8.50481691725812,0.39999999999997726,12.855939332728294,1.1272800632184872,44,38.25348837207921,170.10330554911377,-36.52022361501452,198.94947769098835,-7.348611500118748,-48.28682233068023,44,0,0
