Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,dvdt Threshold_DEBUG,ais spikecount,nex spikecount,disdend spikecount
100:0,-18.0324827915265,6.599999999999625,-15.561988517053996,0.7299800463740705,8,214.95714285707547,16.062828979871213,-23.046415861822254,16.285629261002654,-22.95899413530968,-36.91224373387677,-36.91224373387677,8,0,0
90:10,8.13091574872071,2.199999999999875,11.40990162537754,0.6197866378681529,6,101.5800000000209,193.30316415734677,-23.531919597202606,62.74826548224848,-16.130593320302633,-41.053882008373606,-41.053882008373606,12,0,0
80:20,5.784091939193495,4.0000000000009095,5.3421915680708745,0.7286330355407191,8,172.79999999991995,183.5364058284441,-25.166697136566768,127.09944343421,-16.141802664692765,-41.33281282166818,-41.33281282166818,22,0,0
70:30,4.491536113293714,3.799999999999784,4.773554016420229,1.3669847770962489,22,77.20476190473353,182.37612119065432,-26.796957104060848,182.72173061024048,-27.10083862428021,-42.6259697032025,-42.6259697032025,22,0,0
60:40,3.806843245264563,3.099999999999824,6.242578282126096,1.2981508280815284,29,58.08928571426463,183.2288344730617,-28.527289025838865,183.0774078531697,-28.715676697842333,-43.9794064954433,-43.9794064954433,29,0,0
50:50,3.146910396224924,2.899999999999835,5.530435954028442,1.2950609328660303,34,50.1060606060421,181.67621645498429,-29.784869980774072,181.14347502206024,-29.962438929284215,-45.12591006787697,-45.12591006787697,34,0,0
40:60,2.493678946289593,2.6999999999998465,5.995707194963503,1.2592035201257568,37,45.53888888887236,176.90520520639694,-31.35749122558969,175.95687051901442,-31.163963965626955,-45.97587631906991,-45.97587631906991,37,0,0
30:70,2.467347187486691,2.6999999999998465,6.472442250618938,1.2314864897258049,40,42.39999999998446,169.62686914692213,-33.30938936131574,168.5713562820844,-33.498529250471194,-46.62503971766705,-46.62503971766705,40,0,0
20:80,3.081930101787008,2.799999999999841,7.382080194897187,1.2071154697319253,42,40.202439024375614,161.43491226869244,-34.46773322947856,135.2111324746172,-11.62057237149584,-47.14185513935546,-47.14185513935546,42,0,0
10:90,4.341024697030947,3.099999999999824,9.006441138181817,1.1703518593632645,44,38.537209302311474,154.07508778141477,-36.36253654063512,144.32595387793688,-10.65857146736754,-47.55929798629978,-47.55929798629978,44,0,0
0:100,5.621394185149344,3.499999999999801,12.293824858435352,1.1003594359581068,46,37.131111111097375,147.7481163956334,-37.74329431815386,150.39650578659192,-9.699824819937527,-47.87427971947674,-47.87427971947674,46,0,0
