,Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,dvdt Peak2 Shoulder Before,dvdt Peak2 Shoulder Before Voltage,dvdt Peak2 Shoulder After,dvdt Threshold_DEBUG,ais spikecount,nex spikecount,disdend spikecount
0,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/WT,31.219295596694092,0.0,33.53946959851159,1.0464297976056134,9,52.562500000007226,487.4510275767173,6.920942366006561,484.7476663006879,6.365159794905044,-47.65407699785399,297.34877763045233,-25.466575356256957,484.48289088911844,-47.65407699785399,9,0,0
1,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut1_2,29.553088507456113,0.0,30.384082175999538,2.373720348955671,9,53.2875000000074,432.5899945470553,5.6341533242114865,429.6978139603316,4.647948721544738,-47.458489067021226,272.6148202193048,-24.29378299603061,429.4816230976442,-47.458489067021226,9,0,0
2,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut1_3,35.13840228763011,0.0,35.50319358599754,2.2527633523447492,9,53.82500000000751,685.2128785596636,8.575240888251534,680.6354495602296,7.280016615552077,-47.669358881996054,381.97584191298046,-24.75798357783929,54.806276273937016,-47.669358881996054,9,0,0
3,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut1_4,30.903461434190156,0.0,31.889458018291606,1.7874220419475777,10,52.57777777778554,484.44677143917056,6.996918115951285,482.5369546562535,6.8957806137856945,-47.48650085229369,296.89232738542194,-22.954265324418238,54.64126001798917,-47.48650085229369,10,0,0
4,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut2_1,29.529946529906834,0.0,30.08307832637802,0.9636654735539529,10,51.85555555556315,502.8976142166894,5.921670714215071,500.79967849946826,5.605577223778821,-47.41421675388785,304.9533755958425,-25.266922564032622,52.90881794574318,-47.41421675388785,10,0,0
5,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut2_2,30.590102438330085,0.0,32.538522074455,1.0621313602498195,10,51.21111111111856,502.73144929714533,7.500300401228394,500.73843236138185,7.386805892796147,-47.50391501472556,309.02862714658283,-24.0958777261468,51.29637807340259,-47.50391501472556,10,0,0
6,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut2_3,30.590102438330085,0.0,32.538522074455,1.0621313602498195,10,51.21111111111856,502.73144929714533,7.500300401228394,500.73843236138185,7.386805892796147,-47.50391501472556,309.02862714658283,-24.0958777261468,51.29637807340259,-47.50391501472556,10,0,0
7,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut2_4,30.354798165684624,0.0,32.15549377271415,1.410971270528219,9,55.52500000000791,399.8224704890086,4.812851243065733,397.56839116475334,5.100061188144349,-47.5093218705396,396.76028268864246,3.1099379274094785,397.6909261857787,-47.5093218705396,9,0,0
8,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut3_1,30.029602460942073,0.0,31.129986823850377,1.9115254699078885,10,51.98888888889652,483.60338551529765,7.153987368902869,481.08602237582187,6.522405999839481,-47.45538252285398,296.8013577172705,-23.110932070886907,480.3925634273485,-47.45538252285398,10,0,0
9,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut3_2,30.199622436685182,0.0,30.508270057095633,7.746947748026304,10,52.411111111118835,498.0941855653206,7.83035613161403,495.9276963426886,7.8983168857551185,-47.42234775072809,305.33519375449,-22.93785443855642,495.2192787415921,-47.42234775072809,10,0,0
10,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut3_3,33.26775273831315,0.0,35.08263354596654,1.6836625089761281,9,58.60000000000849,454.64361661873846,7.101972914647639,453.4067827711003,7.299888187204067,-48.98161145233285,452.98302107172316,5.0275070956069134,451.6841886638436,-48.98161145233285,9,0,0
11,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut3_4,28.24237007321531,0.0,37.185443569194724,0.8048331573516553,7,79.1000000000111,587.4852281316423,10.229032306851254,234.34134948182822,-19.137955225179958,-54.640610337661116,232.87034094471366,-20.308359826146333,234.21646217997605,-54.640610337661116,19,0,0
12,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut4_1,26.65053442658066,0.0,28.42149298818469,2.3457316178567407,9,53.32500000000741,380.46310504881535,3.7965312714603234,378.15435270003314,3.1129104166487576,-47.49414614484413,244.86253044133653,-25.65644275653185,377.75652317211274,-47.49414614484413,9,0,0
13,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut4_2,28.331972812744272,0.0,29.883943431040006,1.7997510998563,9,52.962500000007324,422.43171650124617,4.716008142551502,419.7640070413799,6.1422647333913485,-47.462185338133374,419.31028412073505,4.03878957211894,54.224803638848584,-47.462185338133374,9,0,0
14,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut4_3,35.708846682008165,0.0,36.63770349544144,1.8133971597222283,8,62.000000000008704,461.5828693936727,8.671737676859223,461.1902502029757,7.992558734419399,-47.47943803507843,459.17458063223063,5.685582708135268,458.1703626429684,-47.47943803507843,8,0,0
