,Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,ais spikecount,nex spikecount,disdend spikecount
0,WT,35.639857325499136,0.0,35.696956666797384,2.033942632194142,6,69.34000000000451,370.2104394095574,-33.055062925580195,596.3786241966807,10.507801541232205,-53.25785653616347,6,0,0
1,mut1_1,33.941841611641856,0.0,34.7081162926474,1.2140863733623746,6,69.12000000000447,340.81337430472655,-34.08785776149025,517.2282317830201,8.27554169542978,-53.253062117448344,6,0,0
2,mut1_2,35.582539436078356,0.0,36.321072381591826,1.1206881590032736,6,69.86000000000463,361.4092501117973,-33.777423078315095,571.1941119734817,7.6260855755588866,-53.266231804193126,6,0,0
3,mut1_3,36.97102233063993,0.0,36.390669802784366,1.6621094888272758,6,67.86000000000418,422.1670405032455,-35.013257007141654,720.8809840880874,10.413819270680461,-53.25858956416035,6,0,0
4,mut1_4,38.78166044698503,0.0,40.17758797288523,1.7930186188196184,5,74.07500000000277,382.3844041760445,-34.19100530518785,642.445170502291,10.963734593678403,-53.28788620663239,5,0,0
5,mut2_1,34.01409373036604,0.0,36.571640324857924,1.307029601996593,6,67.80000000000416,614.0625637488057,8.506853369863949,614.0625637488057,8.506853369863949,-53.29716650474295,6,0,0
6,mut2_2,35.51256917512949,0.0,35.50952464570761,1.8539044164058367,6,68.28000000000426,375.05754871826935,-31.91195684309067,606.2400368341032,10.472381633605156,-53.25968375408762,6,0,0
7,mut2_3,35.590259095125056,0.0,37.7823698274659,1.1796733245012723,6,68.66000000000436,355.12080767028635,-33.90907013173379,552.9438069016701,8.435605853794293,-53.25148531775066,6,0,0
8,mut2_4,36.171141507302984,0.0,36.897946122332314,1.1135602526299702,6,67.9800000000042,363.2950989501459,-32.78079914889784,553.0796199474536,10.573162188920616,-53.25400663531901,6,0,0
9,mut3_1,36.038365493442086,0.0,36.72510512448093,1.3690190881864097,6,69.16000000000447,367.60119556554434,-33.80893577623644,592.1168866817499,8.92593554637476,-53.256571597022486,6,0,0
10,mut3_2,34.17337433656013,0.0,36.006889175922744,1.085917984554007,6,68.70000000000437,367.0571072550171,-33.6749865752753,582.8684241566017,8.60455683656166,-53.24689126373966,6,0,0
11,mut3_3,36.14879344475913,0.0,37.81317153241852,1.7927219424861416,5,77.50000000000355,341.1449094310214,-34.21822236754416,523.5848310256839,8.238124674032267,-53.26498255600652,5,0,0
12,mut3_4,35.85630947856244,0.0,36.30763710389693,3.197384429228984,5,72.8750000000025,361.63959988762963,-33.1419270760102,563.3904712256215,10.520532377936387,-53.276243504642025,5,0,0
13,mut4_1,32.442109400770484,0.0,32.499110492150606,2.0044002257552003,6,71.24000000000494,338.80063313901655,-33.827751672599796,500.7349899214033,7.5928683378943305,-53.29331349235485,6,0,0
14,mut4_2,34.26616702071575,0.0,34.991353057226995,1.6236448043389207,6,68.0000000000042,368.07154345561554,-33.90511276814921,581.3434707222705,8.241379111542432,-53.25868057194471,6,0,0
15,mut4_3,36.439980332264476,0.0,36.21380337186742,2.2627269774975027,6,72.14000000000514,392.1762994711603,-33.120335388452744,646.1914955853211,10.93208334940226,-53.23543400202348,6,0,0
16,mut4_4,34.93491060728499,0.0,37.91014650998231,1.3214727018334385,6,73.14000000000537,370.62156099788837,-34.35267981556918,603.384903529097,8.605120905464746,-53.22189633271477,6,0,0
17,mut5_1,32.36012332382832,0.0,37.218181881127386,1.4397246137120923,6,67.5200000000041,366.29673965296587,-34.44564088256723,515.6253786368701,6.454390745257434,-53.25676486751273,6,0,0
18,mut5_2,36.9747490387206,0.0,37.68020374921124,1.7205457978836343,6,74.1200000000056,350.989238494909,-33.84945571770151,554.4076831995037,8.496430533492813,-53.24329849028958,6,0,0
19,mut5_3,35.765473462192446,0.0,35.73383081669999,1.424320795493152,6,68.96000000000443,377.76069650031303,-34.01895467855373,611.3238737381397,10.019679685372772,-53.25083671452851,6,0,0
20,mut5_4,35.60326631910892,0.0,35.88236665989882,1.2932822617308806,6,68.70000000000437,379.7539970633458,-32.56950303034506,614.3494662781368,10.028846717862926,-53.25084195519072,6,0,0
21,mut9_1,35.03136635689073,0.0,36.64545990731648,1.4438464003072768,6,68.42000000000431,365.2822854045034,-33.28100133725173,583.1240452856432,9.081812938519088,-53.250679186579035,6,0,0
22,mut9_2,35.03136635689073,0.0,36.64545990731648,1.4438464003072768,6,68.42000000000431,365.2822854045034,-33.28100133725173,583.1240452856432,9.081812938519088,-53.250679186579035,6,0,0
23,mut9_3,35.03136635689073,0.0,36.64545990731648,1.4438464003072768,6,68.42000000000431,365.2822854045034,-33.28100133725173,583.1240452856432,9.081812938519088,-53.250679186579035,6,0,0
24,mut9_4,35.03136635689073,0.0,36.64545990731648,1.4438464003072768,6,68.42000000000431,365.2822854045034,-33.28100133725173,583.1240452856432,9.081812938519088,-53.250679186579035,6,0,0
25,mut10_1,35.45988109630595,0.0,34.60597885507187,1.0873694775929386,6,68.10000000000423,387.1175410052576,-32.83342566902046,626.52327767785,10.798354224906278,-53.26063936355055,6,0,0
26,mut10_2,36.1903052471529,0.0,37.24591291936502,2.0792791775107653,6,73.82000000000554,354.61980119429126,-32.90389417654219,556.8024744148137,10.39537185707394,-53.24746243183742,6,0,0
27,mut10_3,35.56048861344895,0.0,35.30676397838076,2.0016337672840883,5,78.07500000000368,337.2297966849068,-33.557230026263504,512.4718709421436,8.390532799203406,-53.27133091590951,5,0,0
28,mut10_4,33.947692266918686,0.0,36.438811722703655,1.9715309310879434,5,75.5000000000031,334.2201615164882,-33.82211847387538,496.3255442531423,6.886304696738199,-53.273855398556826,5,0,0
29,mut11_1,35.841129550196975,0.0,35.91154291549179,1.7045485767447583,6,68.34000000000428,376.68258792438036,-33.92097479985792,611.5159992698602,10.284478996789241,-53.2573518945493,6,0,0
30,mut11_2,36.323256155027174,0.0,36.82142242821481,1.2642749147652612,6,68.72000000000438,368.6979341746557,-33.82564360092346,595.1854356348802,9.17597033588223,-53.25621857883184,6,0,0
31,mut11_3,34.99840816599651,0.0,38.190082965991,1.3546044050492236,6,70.2000000000047,347.52645387080355,-32.63371013579618,539.7767256589575,9.447578958536232,-53.24598978168324,6,0,0
