Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,dvdt Peak2 Shoulder,dvdt Threshold_DEBUG,ais spikecount,nex spikecount,disdend spikecount
./Plots/12HH16HH/10-KevinRtR_chandensities/11-ShiftAIS/28-WT_shoulderPeak/WT_70:30,4.8338927827781335,4.299999999999756,6.631454612113099,1.2499293766502813,23,73.74545454542758,181.151522188604,-24.833220002281777,181.151522188604,-24.833220002281777,-42.21728741097584,135.85531134877513,-42.21728741097584,23,0,0
./Plots/12HH16HH/10-KevinRtR_chandensities/11-ShiftAIS/28-WT_shoulderPeak/WT_60:40,5.100826296784865,3.2999999999998124,7.308404513277541,1.2460534893703734,31,55.34999999997934,188.18720933451303,-26.60803418470698,188.18720933451303,-26.60803418470698,-43.89216587286042,139.76937982842318,-43.89216587286042,31,0,0
./Plots/12HH16HH/10-KevinRtR_chandensities/11-ShiftAIS/28-WT_shoulderPeak/WT_40:60,4.149221833823425,2.6999999999998465,7.672179683993269,1.2127655932793444,39,43.96315789472046,191.4124028502908,-29.500087095807977,191.4124028502908,-29.500087095807977,-46.29246747171719,155.39447964423923,-46.29246747171719,39,0,0
./Plots/12HH16HH/10-KevinRtR_chandensities/11-ShiftAIS/28-WT_shoulderPeak/WT_50:50,4.620579958339837,2.899999999999835,7.737833978273608,1.220997476197859,35,48.08529411762963,192.4221443624397,-28.744008269760243,192.4221443624397,-28.744008269760243,-45.31456879288255,148.17212859070833,-45.31456879288255,35,0,0
