,Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,dvdt Threshold_DEBUG,ais spikecount,nex spikecount,disdend spikecount
0,0:100,8.50481691725812,3.099999999999824,12.855939332728294,1.1272800632184872,44,38.25348837207921,170.10330554911377,-36.52022361501452,185.3896980689143,-7.34069681468701,-48.28682233068023,-48.28682233068023,44,0,0
1,10:90,6.40651766801411,2.799999999999841,10.656521074728873,1.1582189206529103,44,38.77906976742754,173.48537502589707,-34.83023764040298,166.94477778300865,-9.525321478081565,-47.88813469786382,-47.88813469786382,44,0,0
2,20:80,4.973419765827628,2.799999999999841,9.293728588489534,1.1745536998182189,43,39.79761904760428,178.38586805159125,-33.49218933551554,153.80955231686445,-11.136648933698943,-47.42797383105521,-47.42797383105521,43,0,0
3,30:70,4.162847176598435,2.6999999999998465,7.643510014043255,1.2102299536623582,41,41.46999999998475,183.92910690610157,-31.619074325263195,182.12780128152238,-31.62798297694573,-46.876224666397704,-46.876224666397704,41,0,0
4,40:60,4.149221833823425,2.6999999999998465,7.672179683993269,1.2127655932793444,39,43.96315789472046,188.3195459174498,-30.120431051304827,186.61738086768764,-29.871220085532887,-46.19185237004282,-46.19185237004282,39,0,0
5,50:50,4.620579958339837,2.899999999999835,7.737833978273608,1.220997476197859,35,48.08529411762963,190.19384595639153,-28.864581571331893,188.6520355000151,-28.368144515510156,-45.29649597007935,-45.29649597007935,35,0,0
