Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,dvdt Threshold_DEBUG,ais spikecount,nex spikecount,disdend spikecount
90:10,10.066795191776452,4.900000000001114,9.495114884152477,1.276343659804484,11,116.13999999993658,191.09247641357533,-29.067865260965775,162.90314739593546,-4.097366937862949,-41.76755346250265,-41.76755346250265,11,0,0
80:20,7.133151530661389,3.800000000000864,6.419139318980532,1.3980926734798205,14,94.77692307687477,183.19074022649352,-29.608567089372198,138.51470977134443,-6.433943263441429,-42.1067991524226,-42.1067991524226,14,0,0
70:30,4.375440743222622,3.3000000000007503,3.0823130000758634,1.4768126576730345,19,77.73888888885162,176.8498606683636,-30.634933929141,116.50418741311236,-9.040279714770776,-42.79834918651614,-42.79834918651614,19,0,0
60:40,2.4799846500479723,2.899999999999835,3.2186502813400875,1.4626603666447942,24,71.16956521736502,171.85067185482657,-30.842588733850206,108.81006347554523,-31.625117544314296,-43.76437717728077,-43.76437717728077,24,0,0
50:50,1.1706093619796216,2.799999999999841,3.750895838684437,1.3936145196315644,29,58.54642857140711,165.38591801127822,-31.812980563455348,106.81088339193552,-31.626449682114472,-44.59209977301987,-44.59209977301987,29,0,0
40:60,0.5104839434915216,2.6999999999998465,3.5403047324477552,1.3520344174492118,33,51.88437499998073,156.2693258034372,-32.94278958976271,113.3170038280447,-32.971576035352044,-45.31186516826823,-45.31186516826823,33,0,0
30:70,0.4691205869541797,2.799999999999841,4.658252285490981,1.2890004731204816,36,47.102857142839895,143.4622056050145,-33.526821241315055,112.58756698951817,-13.658327484904346,-45.88517124683502,-45.88517124683502,36,0,0
20:80,0.7802045411977708,2.999999999999829,6.037936903094601,1.2273114708650212,39,43.173684210510665,126.19231582937688,-35.68920075695464,116.05980368959372,-13.124275724537029,-46.32859946506349,-46.32859946506349,39,0,0
10:90,0.8042921591925478,3.599999999999796,8.449915617158965,1.142958327551234,43,39.2404761904619,107.3093507548542,-38.07210268130845,112.3372127622332,-13.433859620579089,-46.59694842809347,-46.59694842809347,43,0,0
0:100,-2.575202837485504,9.599999999999454,10.691536859973072,0.8624470040032566,54,31.43018867923368,87.96949866027006,-39.1363321680979,87.24958914258333,-15.29803357928353,-45.92110808721715,-45.92110808721715,54,0,0



